# Chunk-averaged data for fix g_avg and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
50000 240 51540.000000000015
  208 0.864583 232.978 301.596
  209 0.86875 198.392 297.4
  210 0.872917 235.944 299.456
  211 0.877083 208.654 301.109
  212 0.88125 201.742 296.945
  213 0.885417 223.284 294.303
  214 0.889583 200.752 293.43
  215 0.89375 237.424 293.977
  216 0.897917 199.806 296.169
  217 0.902083 206.87 298.04
  218 0.90625 223.144 299.885
  219 0.910417 204.458 297.986
  220 0.914583 233.306 297.311
  221 0.91875 205.192 294.027
  222 0.922917 211.03 295.006
  223 0.927083 220.012 299.535
  224 0.93125 205.762 299.412
  225 0.935417 229.868 293.542
  226 0.939583 210.236 295.738
  227 0.94375 200.122 295.509
  228 0.947917 232.004 297.254
  229 0.952083 205.986 299.048
  230 0.95625 230.08 295.826
  231 0.960417 207.922 296.191
  232 0.964583 198.008 298.97
  233 0.96875 220.084 301.128
  234 0.972917 210.462 303.477
  235 0.977083 226.806 298.226
  236 0.98125 207.284 297.585
  237 0.985417 206.258 299.445
  238 0.989583 223.146 300.614
  239 0.99375 215.656 299.46
  240 0.997917 229.226 296.098
200000 240 51540
  1 0.00208333 214.024 295.663
  2 0.00625 203.674 295.401
  3 0.0104167 226.564 299.935
  4 0.0145833 198.91 298.566
  5 0.01875 226.128 296.99
  6 0.0229167 218.61 296.828
  7 0.0270833 203.748 298.853
  8 0.03125 232.604 299.649
  9 0.0354167 198.458 302.564
  10 0.0395833 221.348 300.733
  11 0.04375 222.396 301.548
  12 0.0479167 202.52 305.47
  13 0.0520833 223.278 304.689
  14 0.05625 198.728 303.833
  15 0.0604167 220.808 301.475
  16 0.0645833 218 299.314
  17 0.06875 207.154 300.797
  18 0.0729167 223.31 299.861
  19 0.0770833 199.754 295.384
  20 0.08125 220.826 296.176
  21 0.0854167 221.938 295.706
  22 0.0895833 211.482 292.69
  23 0.09375 220 295.03
  24 0.0979167 199.91 297.316
  25 0.102083 218.828 302.253
  26 0.10625 226.104 296.685
  27 0.110417 201.158 298.716
  28 0.114583 232 298.811
  29 0.11875 201.054 297.269
  30 0.122917 218.226 300.069
  31 0.127083 222.316 297.798
  32 0.13125 200.404 302.369
  33 0.135417 220 297.472
  34 0.139583 202.39 302.753
  35 0.14375 221.592 303.024
  36 0.147917 219.272 299.093
  37 0.152083 207.542 294.67
  38 0.15625 223.204 295.494
  39 0.160417 208.276 295.56
  40 0.164583 223.998 300
  41 0.16875 222.448 299.495
  42 0.172917 204.932 298.396
  43 0.177083 226.346 299.06
  44 0.18125 198.584 302.784
  45 0.185417 217.662 296.362
  46 0.189583 226.774 302.478
  47 0.19375 204.582 298.913
  48 0.197917 232.398 297.615
  49 0.202083 198.136 301.363
  50 0.20625 216.152 301.93
  51 0.210417 227.586 301.549
  52 0.214583 202.986 299.826
  53 0.21875 223.14 301.543
  54 0.222917 198.99 297.823
  55 0.227083 224.326 298.479
  56 0.23125 214.67 295.967
  57 0.235417 206.886 295.883
  58 0.239583 223.128 298.966
  59 0.24375 199.498 298.473
  60 0.247917 230.906 300.434
  61 0.252083 212.436 300.858
  62 0.25625 211.16 300.828
  63 0.260417 220 299.306
  64 0.264583 198.372 296.98
  65 0.26875 234.09 296.529
  66 0.272917 213.39 300.148
  67 0.277083 200.148 302.131
  68 0.28125 232 300.419
  69 0.285417 199.646 299.817
  70 0.289583 236.89 296.961
  71 0.29375 207.464 296.957
  72 0.297917 198 292.829
  73 0.302083 220 293.042
  74 0.30625 200.142 298.292
  75 0.310417 240.534 300.015
  76 0.314583 204.058 299.857
  77 0.31875 205.972 297.334
  78 0.322917 223.294 302.347
  79 0.327083 206.386 300.072
  80 0.33125 239.87 299.13
  81 0.335417 209.744 301.87
  82 0.339583 203.372 296.698
  83 0.34375 226.628 296.954
  84 0.347917 198.042 293.26
  85 0.352083 232.762 293.164
  86 0.35625 213.196 293.79
  87 0.360417 203.318 295.446
  88 0.364583 232.682 300.601
  89 0.36875 198.01 305.4
  90 0.372917 229.086 305.676
  91 0.377083 215.776 303.962
  92 0.38125 201.808 299.933
  93 0.385417 223.32 301.079
  94 0.389583 198.034 306.427
  95 0.39375 231.354 305.465
  96 0.397917 208.612 299.326
  97 0.402083 206.762 299.766
  98 0.40625 223.238 302.403
  99 0.410417 198.154 298.368
  100 0.414583 232.456 301.751
  101 0.41875 212.292 303.32
  102 0.422917 211.098 304.608
  103 0.427083 220 300.388
  104 0.43125 198.266 299.437
  105 0.435417 233.078 302.757
  106 0.439583 214.55 298.544
  107 0.44375 200.106 302.796
  108 0.447917 232 303.189
  109 0.452083 200.57 307.523
  110 0.45625 237.178 305.598
  111 0.460417 206.252 303.859
  112 0.464583 198 306.962
  113 0.46875 220.004 305.659
  114 0.472917 203.094 304.942
  115 0.477083 236.856 309.211
  116 0.48125 204.752 310.835
  117 0.485417 206.074 304.28
  118 0.489583 223.222 307.008
  119 0.49375 208.762 304.594
  120 0.497917 236.29 301.709
  121 0.502083 210.932 299.217
